Source	Target	Interaction_in_cancer
NCOR1	TBL1X	1
NCOR1	TBL1XR1	1
NCOR1	HDAC6	1
NCOR1	HDAC2	1
NCOR1	HDAC5	1
NCOR2	TBL1X	1
NCOR2	TBL1XR1	1
NCOR2	HDAC6	1
TBL1X	HDAC4	1
TBL1X	HDAC5	1
TBL1XR1	HDAC9	1
TBL1XR1	HDAC7	1
TBL1XR1	HDAC10	1
HDAC6	HDAC11	1
HDAC6	HDAC5	1
HDAC6	HDAC7	1
HDAC8	HDAC11	1
HDAC11	HDAC4	1
HDAC4	HDAC2	1
HDAC4	HDAC9	1
HDAC2	HDAC3	1
HDAC2	HDAC10	1
HDAC3	HDAC7	1
HDAC3	HDAC1	1
HDAC9	HDAC1	1
HDAC5	HDAC1	1
HDAC5	HDAC10	1
SOS1	HSP90AA1	1
GRB2	HSP90AA1	1
CDC37	PIK3CA	1
CBL	HSP90AA1	1
HBEGF	AREG	1
EREG	TGFA	1
TP53	GADD45B	0
NFKBIA	NFKB1	0
RB1	E2F2	0
RASSF1	NRAS	0
DAPK2	MAPK3	0
CEBPA	IL6	0
EGLN2	HIF1A	0
CEBPA	PER2	0
RUNX1	IL3	0
CTNNB1	DDIT3	0
HDAC4	HDAC10	1
ARAF	CDK4	1
ARAF	MYC	1
ARAF	STK11	1
BECN1	TSC1	1
BRAF	BRAF	1
CBLC	STK11	1
CD44	AKT1	1
CDK4	CCND2	1
CDK4	CDK4	1
CDK4	FGFR4	1
CDK6	CDK6	1
CDKN2A	CCNE1	1
CDKN2A	EPHA2	1
CDKN2B	CDK4	1
CDKN2B	CDKN2B	1
CDKN2C	AKT1	1
CDKN2C	CDK4	1
CDKN2C	CDK6	1
DACH1	TEAD2	1
EPHA2	AKT1	1
EPHA2	CDKN2B	1
EPHA2	MAP2K3	1
ERBB2	CCND2	1
FGFR4	EPHA2	1
FZR1	ERBB2	1
FZR1	FGFR4	1
GLIS2	AKT1	1
GLIS2	BECN1	1
GLIS2	EPHA2	1
GLIS2	STK11	1
GRM1	FGFR4	1
ARNT	CDK4	1
ARNT	CDK6	1
ARNT	HIF1A	1
ARNT	ARNT	1
ARNT	STK11	1
KDELR2	CD44	1
KDELR2	FGFR4	1
KDELR2	PDGFRA	1
KRAS	BRAF	1
KRAS	RAF1	1
LATS2	AKT1	1
LATS2	CDKN2B	1
MDM4	CDKN2A	1
MAP2K3	AKT1	1
MAP2K3	MAP3K5	1
MAP2K5	EPHA2	1
MAP2K5	MAP2K5	1
MAP2K6	MAP2K3	1
MAP2K6	MAP2K6	1
MAP2K6	MAPK14	1
MYC	AKT1	1
NF2	AURKA	1
NF2	CD44	1
NF2	FGFR4	1
NF2	TSC1	1
PDGFRA	EPHA2	1
PDGFRA	MAP2K3	1
PIK3CA	PIK3R1	1
RAF1	YWHAZ	1
RAF1	CDK4	1
RAF1	CDK6	1
RAF1	HRAS	1
RASSF1	CDKN2A	1
RASSF1	LATS2	1
RASSF1	NF2	1
RASSF1	RAF1	1
RB1	MYC	1
SMAD1	MAP2K3	1
SMARCA4	MYC	1
SOX4	DACH1	1
STK11	FGFR4	1
TNFRSF1A	CCND2	1
TP53	MDM2	1
TP53	MYC	1
TP53	RELA	1
TP53	STK11	1
TSC1	TSC1	1
YAP1	YWHAG	1
SMAD2	SMAD4	1
FRAT1	DVL1	1
FRAT1	DVL3	1
KIF7	SUFU	1
RASSF5	RASSF1	1
SIN3A	NCOR1	1
NFKBIZ	NFKB1	1
NFKBIZ	RELA	1
RHOA	ROCK2	1
DCN	EGFR	1
CD44	ANK3	1
MET	CBL	1
CD44	CDC42	1
TGFBR1	TGFBR2	1
CTNNB1	CSNK1A1L	1
AXIN1	APC2	1
AXIN1	APC	1
LAT	PLCG1	1
PLCG1	ERBB2	1
ERBB2	ERBB2	1
ERBB2	SOS1	1
ERBB2	GRB2	1
